# Mod Manager order preview — data/load-order.tokens.txt
# Generated by tools/generate_load_order.py; names from the catalog.

   1. SEST_Integration  SEST Integration Pack
   2. 3380210757        Anchor Chain
   3. 3784474738        Euromod - Anchorchain Expansion Pack
   4. 3606134711        Custom Loadout Editor
   5. 3768036424        Better TacMap
   6. 3437105712        SAM Pack
   7. 3733719765        PLA Land Unit Pack
   8. 3760871384        Dingtools Weapon Pack
   9. 3606774881        U.S. Navy 2027 Capabilities mod
  10. 3801363152        CH-53E Standalone v0.1.0
  11. 3629144864        Euromod - Main Pack
  12. 3775128499        Modern PLAN Systems
  13. 3637954857        Y-8/Y-9 Special Mission Aircraft Family
  14. 3607989779        F-35C Lightning II Alt. Loadouts
  15. 3430135740        F/A-18 Murder Hornet with AIM-174B
  16. 3394781441        B-52G with AGM-86 (realistic nuke)
  17. 3395022688        Tu-95 With AS-15 (Kh-55) ALCM (more realistic nuke)
  18. 3373960386        Flight Deck Ops
  19. 3461091581        Air Deck Operations Upgrade - Nimitz (2000s)
  20. 3508275114        Ground Upgrade: SPAA
  21. 3438479626        1143.5 Kuznetsov
  22. 3432668460        Auxilliary Merchant Pack
  23. 3567256221        Charles De Gaulle & Modern French Navy Pack (WIP)
  24. 3695809489        Euromod - Modern Japanese Maritime Self Defence Force
  25. 3575847216        Euromod - Modern German Navy
  26. 3444379330        Euromod - Modern Dutch navy
  27. 3642656500        Euromod - Modern Nordic Navy
  28. 3461044389        Gerald R. Ford-class CVN Aircraft Carrier (Updated Dependencies)
  29. 3384079999        Humpback Whale
  30. 3505420313        Italian Navy Mod
  31. 3406985435        Kirov-class (Pyotr Velikiy Upgrade)
  32. 3430106996        Merchants Expanded
  33. 3417446309        MIG-29 Family
  34. 3599752717        Euromod - Modern British Navy
  35. 3488139470        Euromod - Modern Italian Navy
  36. 3390330875        Modern US Navy
  37. 3456859157        Mogami-class Frigate
  38. 3432592449        Nimitz Expanded
  39. 3594891803        PLAN Submarines
  40. 3774859959        PLAN Type 001 Aircraft Carrier Liaoning
  41. 3774572038        PLAN Type 071 Amphibious Transport Dock
  42. 3663564190        Type 003 Aircraft Carrier - PLANS Fujian CV-18
  43. 3436170138        Shenyang J-11
  44. 3486502935        Type 003 Fujian / Type 004 CVN Aircraft Carriers
  45. 3417801942        Chinese Navy (PLAN)
  46. 3597650470        Russian Navy 21
  47. 3468260539        Russian Submarines (Yasen, Akula, Sierra I/II, Oscar II, Belgorod, Typhoon, Delta IV classes)
  48. 3403661005        [DEPRECATED] S-70B-2 Seahawk with AGM-114 'Hellfire' Missiles
  49. 3630495619        Euromod - Cold War Spanish Navy
  50. 3731208477        Euromod - Modern Spanish Navy
  51. 3378409795        Royal Navy Type 23 'Duke Class' Frigate [OLD]
  52. 3590477166        MH-60R Seahawk
  53. 3737267013        United States Naval Aviation
  54. 3433957933        Virginia-, Seawolf-, and Ohio-class Submarines
  55. 3602046770        Boeing P-8 Poseidon
  56. 3414146266        A-10A Thunderbolt II
  57. 3459682829        A-10C
  58. 3425450153        AH-64 Apache
  59. 3403993583        Armed Oil Rig with Helo MOD
  60. 3652097318        B-1B Lancer
  61. 3480965706        B-2 Spirit
  62. 3741944366        B-52H Stratofortress
  63. 3524112296        Soviet AEW&C + Transport Aircraft (A-50 / Il-76)
  64. 3744475027        KC-46A Pegasus - Strategic Tanker
  65. 3600788156        Buildings and Targets for Missions
  66. 3746453639        Civil Aircraft Mod (Airbus Family)
  67. 3504168760        Dassault Rafale
  68. 3781062859        <<E-3G>>
  69. 3499239964        [DEPRECATED] E-7A Wedgetail
  70. 3587877691        Eurofighter Typhoon
  71. 3448845252        F-117 Nighthawk
  72. 3636386513        F-15 EX Eagle II
  73. 3796349767        YF-23 Black Widow II
  74. 3553116604        F-15E StrikeEagle
  75. 3758320372        F-16C Fighting Falcon (modern)
  76. 3418252667        F-22 Raptor
  77. 3736147136        French Army Vehicles
  78. 3567228449        French Helicopter Package
  79. 3503670861        General Atomics MQ-9 Reaper
  80. 3717610332        IL-78 TANKER
  81. 3506979898        Shenyang J-16A (歼-16A 潜龙)
  82. 3591563716        J-20 (歼-20 威龙)
  83. 3670643788        Shenyang J-50 (沈阳航空工业 歼-50)
  84. 3481228992        ChengDu J-10C Vigorous Dragon
  85. 3526982088        XIAN JH-7A (歼轰-7A 飞豹)
  86. 3776340577        Ka-27RLD
